outfit_id,gender,style,season,tags
71628,M,스트릿,여름,"팔렛,데님팬츠,스트릿,스니커즈,여름,반팔티셔츠"
71629,M,스트릿,여름,"팔렛,스트릿,스니커즈,여름,카고팬츠,반팔티셔츠"
71631,F,스트릿,여름,"팔렛,스트릿,여름,반팔티셔츠,스커트,워커"
71633,M,캐주얼,여름,"셔츠,스니커즈,여름,와이드팬츠,캐주얼"
71638,F,캐주얼,여름,"꼼데가르송,여름,치노팬츠,오프숄더,워커,캐주얼,토트백"
71640,M,아메리칸 캐주얼,여름,"셔츠,워크캡,여름,아메리칸캐주얼,워커,아메리칸 캐주얼,오버롤"
71641,F,스트릿,여름,"숄더백,여름,스트릿,스커트,블라우스,워커"
71642,F,포멀,여름,"볼레로,크롭탑,숄더백,여름,스니커즈,포멀,와이드팬츠"
71643,F,스트릿,여름,"트랙팬츠,나이키,스트릿,스니커즈,여름,반팔티셔츠,버킷햇"
71644,F,걸리시,여름,"펌프스,숄더백,여름,원피스,걸리시"
71650,M,스트릿,여름,"화이트셔츠,나이키,스트릿,스니커즈,여름,볼캡,카고팬츠,캉골,크로스백"
71651,F,캐주얼,여름,"숄더백,스니커즈,여름,반팔티셔츠,스커트,캐주얼"
71654,F,캐주얼,여름,"캐주얼,여름,원피스"
71657,M,캐주얼,여름,"여름,치노팬츠,반팔티셔츠,캐주얼,첼시부츠"
71667,M,스트릿,여름,"나이키,스트릿,데님팬츠,스니커즈,여름,비니,크로스백"
71668,M,스트릿,여름,"리,데님팬츠,여름,스니커즈,스트릿,반팔티셔츠,반스"
71670,M,스트릿,여름,"스트릿,여름,부츠,조거팬츠,반팔티셔츠"
71673,F,걸리시,여름,"숄더백,여름,스커트,블라우스,롱부츠,걸리시"
71675,F,캐주얼,여름,"숄더백,스니커즈,여름,컨버스,캐주얼,원피스"
71676,M,스트릿,여름,"스투시,나이키,스트릿,스니커즈,여름,볼캡,반팔티셔츠,와이드팬츠"
71678,F,스트릿,여름,"나이키,스트릿,스니커즈,여름,조거팬츠,티셔츠,터틀넥"
71680,F,걸리시,여름,"여름,부츠,카디건,원피스,걸리시,미니백"
71695,F,캐주얼,여름,"롱재킷,브라탑,슬랙스,여름,스니커즈,캐주얼"
71701,F,캐주얼,여름,"데님팬츠,스니커즈,여름,피케이,버버리,캐주얼"
71702,F,캐주얼,여름,"데님팬츠,스니커즈,여름,반팔티셔츠,반스,캐주얼"
71703,M,스트릿,여름,"데님팬츠,스트릿,스니커즈,여름,반팔티셔츠,비니,크로스백"
71704,F,캐주얼,여름,"숄더백,스웨트팬츠,나이키,스니커즈,여름,반팔티셔츠,캐주얼"
71705,M,캐주얼,여름,"데님팬츠,여름,반팔티셔츠,캐주얼,첼시부츠"
71709,F,걸리시,여름,"여름,부츠,원피스,걸리시,미니백"
71710,F,캐주얼,여름,"백팩,여름,워커,스커트,닥터마틴,캐주얼,후드집업"
71714,M,스트릿,여름,"스트릿,여름,반팔티셔츠,워커,코팅팬츠,크로스백"
71716,F,포멀,여름,"플립플랍,숄더백,여름,수트,포멀"
71717,F,로맨틱,여름,"여름,키르시,블라우스,워커,로맨틱,크로스백"
71719,F,스트릿,여름,"스트릿,스니커즈,여름,반팔티셔츠,스커트,비니"
71723,M,스트릿,여름,"스트릿,스니커즈,여름,아디다스,베스트,반팔티셔츠,타이다이"
71727,F,캐주얼,여름,"크롭탑,데님팬츠,여름,스니커즈,캐주얼,미니백"
71733,M,스트릿,여름,"셔츠,데님팬츠,스트릿,여름,스니커즈"
71735,M,스트릿,여름,"블레이저,숏팬츠,스트릿,스니커즈,여름"
71737,F,캐주얼,여름,"캐주얼,반팔티셔츠,여름"
71738,M,스트릿,여름,"스트릿,스니커즈,여름,아디다스,볼캡,조거팬츠,반팔티셔츠"
71740,M,캐주얼,여름,"셔츠,데님팬츠,여름,로퍼,캐주얼"
71741,F,캐주얼,여름,"데님원피스,선글라스,숄더백,데님팬츠,여름,캐주얼,첼시부츠"
71742,M,스트릿,여름,"블레이저,스트릿,스니커즈,여름,아디다스,볼캡,와이드팬츠"
71743,F,로맨틱,여름,"크롭탑,숄더백,데님팬츠,여름,스니커즈,스커트,로맨틱"
71744,F,캐주얼,여름,"캘빈클라인,백팩,스니커즈,여름,카디건,스커트,캐주얼"
71748,F,스트릿,여름,"트랙탑,숏팬츠,나이키,스니커즈,숄더백,여름,스트릿,뉴발란스"
71753,M,스트릿,여름,"셔츠,데님팬츠,여름,스니커즈,엄브로,스트릿,베레,크로스백"
71756,M,스트릿,여름,"스트릿,스니커즈,여름,치노팬츠,반팔티셔츠,디올,크로스백"
71760,M,캐주얼,여름,"슬리브리스,스투시,후드,스니커즈,나이키,여름,볼캡,와이드팬츠,캐주얼"
71763,F,캐주얼,여름,"뮤트뮤즈,데님팬츠,여름,워커,캐주얼,크로스백"
71765,M,캐주얼,여름,"슬랙스,여름,반팔티셔츠,워커,캐주얼"
71766,F,캐주얼,여름,"캐주얼,스니커즈,원피스,여름"
71767,M,스트릿,여름,"셔츠,스트릿,여름,스니커즈,스웨트셔츠"
71770,M,캐주얼,여름,"데님팬츠,스니커즈,여름,볼캡,반팔티셔츠,캐주얼"
71771,M,스트릿,여름,"스트릿,스니커즈,여름,볼캡,치노팬츠,크로스백"
71772,F,걸리시,여름,"닥터마틴,여름,첼시부츠,카디건,구찌,원피스,걸리시"
71775,F,캐주얼,여름,"숄더백,여름,부츠,니트,와이드팬츠,캐주얼"
71776,F,캐주얼,여름,"숄더백,데님팬츠,여름,반팔티셔츠,캐주얼,첼시부츠"
71777,F,캐주얼,여름,"뮬,셔츠,여름,스커트,반스,캐주얼"
71779,F,스트릿,여름,"숄더백,크롭티셔츠,나이키,스니커즈,여름,스트릿,스웨트셔츠"
71782,F,걸리시,여름,"숏팬츠,여름,카디건,워커,걸리시,크로스백"
71783,M,스트릿,여름,"나이키,여름,데님팬츠,스니커즈,베이프,스트릿,반팔티셔츠,비니,크로스백"
71784,M,스트릿,여름,"블레이저,스트릿,여름,스커트,첼시부츠"
71786,M,스트릿,여름,"셔츠,백팩,스트릿,여름,워커,와이드팬츠,비니"
71787,F,스트릿,여름,"데님팬츠,스트릿,스니커즈,여름,아디다스,스웨트셔츠,버킷햇"
71789,F,캐주얼,여름,"데님팬츠,스니커즈,여름,널디,볼캡,티셔츠,캐주얼,크로스백"
71790,M,캐주얼,여름,"여름,디스트로이드,니트,캐주얼,스키니진,첼시부츠,크로스백"
71793,F,스트릿,여름,"스트릿,비비안웨스트우드,부츠,여름,원피스,크로스백"
71801,M,캐주얼,여름,"샌들,여름,치노팬츠,반팔셔츠,캐주얼"
71802,F,캐주얼,여름,"여름,반팔티셔츠,스커트,롱부츠,캐주얼,크로스백"
71807,M,스트릿,여름,"셔츠,스트릿,스니커즈,여름,와이드팬츠"
71808,F,캐주얼,여름,"숄더백,데님팬츠,여름,크록스,타이다이,캐주얼"
71810,F,캐주얼,여름,"백팩,데님팬츠,시스루,스니커즈,여름,니트,캐주얼"
71812,F,걸리시,여름,"걸리시,여름,레오파드,원피스,첼시부츠"
71815,M,스트릿,여름,"데님팬츠,스트릿,스니커즈,여름,볼캡,반팔티셔츠,체인"
71816,M,스트릿,여름,"스트릿,스니커즈,여름,엠엠지엘,베스트,와이드팬츠,크로스백"
71818,F,스트릿,여름,"스트릿,여름,반팔티셔츠,스커트,워커,크로스백"
71819,F,캐주얼,여름,"점프수트,에이지,여름,스니커즈,캐주얼,미니백"
